System.Id,Keywords
ec9212c2-8bfe-46c5-b1fb-e2ca3e8199c0,"6th & Wall, 6th and wall, City University, Collins Woerman, Sabey Corporation, Seattle, Sozinho, Sozinho imagery, Teknion, downtown, interior, photographer, property, sabey"
63dd0e46-4fe4-4cc9-a531-966adf7dcb5e,"6th & Wall, 6th and wall, City University, Collins Woerman, Sabey Corporation, Seattle, Sozinho, Sozinho imagery, Teknion, downtown, interior, photographer, property, sabey"
143700f7-7b69-489a-87bb-8fed8fe6987e,"6th & Wall, 6th and wall, City University, Collins Woerman, Sabey Corporation, Seattle, Sozinho, Sozinho imagery, Teknion, downtown, interior, photographer, property, sabey"
dcf39e9a-c5ab-4584-b224-20b06a55f733,"2010, Construction worker, Floor, Gate, IGE, Intergate East, Sabey Corporation, Sabey Data Center, Seattle, build, cement, construction, data center, data centers, datacenter, datacenters, equipment, heavy machinery, industrial, interior, lift, machine, machinery, man, men, metal, properties, property, sabey, scissor lift, storage, white, wire, wires"
3fd235c6-dfb2-4989-a00c-a85f1a599a67,"2010, Construction worker, Floor, Gate, IGE, Intergate East, Sabey Corporation, Sabey Data Center, Seattle, build, cement, construction, data center, data centers, datacenter, datacenters, equipment, heavy machinery, industrial, interior, lift, machine, machinery, man, men, metal, properties, property, sabey, scissor lift, storage, white, wire, wires"
625cf537-1233-4d64-95a6-8f5f017f53da,"Aerial view, ETP, Everett, Everett Technical Park, Everett Technical Park IV, Sabey Corporation, aerial, building, car, park, parking, parking space, properties, property, roof, rooftop, sabey, truck"
6b5fd6c9-3cdd-4b77-8cf1-2ec94545194c,"Aerial view, ETP, Everett, Everett Technical Park, Everett Technical Park IV, Sabey Corporation, aerial, building, car, park, parking, parking space, properties, property, roof, rooftop, sabey, truck"
869d72e6-6dfa-4cc1-b473-7bafe9371963,"Data Center, Ed Kimm, IGW, Intergate.West, Interview, Wowrack, datacenters, sabey, seattle"
8412fa27-86b8-4858-82a6-59cca22aa71d,"Data Center, Ed Kimm, IGW, Intergate.West, Interview, Wowrack, datacenters, sabey, seattle"
b66d7101-5d99-4ee8-83dd-22d372568fe7,"70th birthday, Dave, Dave Sabey, Dave Sabey 70th"
9b2e6ec6-f122-44e6-9ba2-0a035097be2a,"70th birthday, Dave, Dave Sabey, Dave Sabey 70th"
434a14c3-c2d1-4854-88ac-f92d2f054fd0,"building 1, building 2, building 3, building 4, igs, intergate seattle, morning, sunny"
dcb23f1b-e6d7-465e-8fff-90dbbd95afb1,"building 1, building 2, building 3, building 4, igs, intergate seattle, morning, sunny"
0c5f4c54-c3b4-4d1a-9694-e930ee99c859,"building 1, building 2, building 3, building 4, igs, intergate seattle, morning, sunny"
71783eb7-df43-47dd-ae10-1c387921a829,"Interior Design Photographer, Interior Photographer, Professional Interior Design Photography"
19bd0c8c-e679-4caa-96af-e60f28af410e,"Interior Design Photographer, Interior Photographer, Professional Interior Design Photography"
efaa80d9-f675-4e28-8bfa-41f5ad5fd73b,"Molly Moon, Sabey Corp Leadership, business, data storage, real estate, small business, technology, telecommunications"
d1811fed-d63d-4998-8fda-302fec0e1b03,"Molly Moon, Sabey Corp Leadership, business, data storage, real estate, small business, technology, telecommunications"
53500803-c621-4a3e-88e1-700eed5cd7c9,"Molly Moon, Sabey Corp Leadership, business, data storage, real estate, small business, technology, telecommunications"
68ee6cb4-12f7-412d-ac81-5a4af5d66b3d,"Molly Moon, Sabey Corp Leadership, business, data storage, real estate, small business, technology, telecommunications"
dc4642df-7533-4c78-ac16-ed4dd1c11145,"Group Health, Riverfront, Sabey"
c3a55de5-48dd-44b0-bd73-6282e70939c0,"Group Health, Riverfront, Sabey"
98cc682b-0c27-4a2e-943e-d0aae8502c58,"Molly Moon, Sabey Corp Leadership, business, data storage, real estate, small business, technology, telecommunications"
89a98896-0dfa-4ec1-adf8-eb1f34f66fe7,"Molly Moon, Sabey Corp Leadership, business, data storage, real estate, small business, technology, telecommunications"
f3bb7885-4a65-4f7e-b18f-1c5572a6934a,"John Neitzel, commercial photographer, interior design photographer, Digital Destinations, Professional Interior Photographer, Professional Videographer in NYC, portrait photographer, product photographer"
9a91008e-0081-41b6-8aae-b4a6e9397076,"John Neitzel, commercial photographer, interior design photographer, Digital Destinations, Professional Interior Photographer, Professional Videographer in NYC, portrait photographer, product photographer"
4b7e5d9d-c772-41eb-aba1-8237e856d575,"2010, IGE, Intergate East, Sabey Corporation, Sabey Data Center, Seattle, building, cabinet, data center, data centers, datacenter, datacenters, hall, interior, lamont, locker, properties, property, sabey, soft layer, soft layer space, softlayer, storage, white"
0306cd52-95da-4b9a-89f0-3890df8411a6,"2010, IGE, Intergate East, Sabey Corporation, Sabey Data Center, Seattle, building, cabinet, data center, data centers, datacenter, datacenters, hall, interior, lamont, locker, properties, property, sabey, soft layer, soft layer space, softlayer, storage, white"
0025679d-0806-4b86-a703-648c47e436cd,"Seattle, WowRack"
e6542cf4-d2a2-4a08-ad49-45e19a85391c,"Seattle, WowRack"
17a92095-e060-4147-a6f1-a9ba7a9a6fc0,"2007, 25, 25 years, 25th Anniversary, Dave Sabey, Ken Stickley, Sabey Corporation, Seattle, anniversary, cake, employee, event, man, party, sabey"
ed22627d-51d7-403d-aa95-e71b3d106334,"2007, 25, 25 years, 25th Anniversary, Dave Sabey, Ken Stickley, Sabey Corporation, Seattle, anniversary, cake, employee, event, man, party, sabey"
eaac3576-0009-4573-b515-38a9630b4ff2,"2007, 25, 25 years, 25th Anniversary, Dave Sabey, Ken Stickley, Sabey Corporation, Seattle, anniversary, cake, employee, event, man, party, sabey"
31c626e3-2c24-47db-ad11-1ab311106d36,"2012, IGE, Intergate East, SDC 42, Sabey Corporation, Sabey Data Center, Seattle, brochure, building, cut sheet, cut sheets, data center, data centers, datacenter, datacenters, design, hall, hallway, interior, print, properties, property, sabey, sign, signage"
33709b6b-a0d6-4717-8f43-bd2ba551c8fa,"2012, IGE, Intergate East, SDC 42, Sabey Corporation, Sabey Data Center, Seattle, brochure, building, cut sheet, cut sheets, data center, data centers, datacenter, datacenters, design, hall, hallway, interior, print, properties, property, sabey, sign, signage"
4f5674b1-5c15-4ef9-9705-3f66ac3ce9ef,"2012, IGE, Intergate East, SDC 42, Sabey Corporation, Sabey Data Center, Seattle, brochure, building, cut sheet, cut sheets, data center, data centers, datacenter, datacenters, design, hall, hallway, interior, print, properties, property, sabey, sign, signage"
96562405-e467-40b2-855b-ac585eb30d4a,"2012, IGE, Intergate East, SDC 42, Sabey Corporation, Sabey Data Center, Seattle, brochure, building, cut sheet, cut sheets, data center, data centers, datacenter, datacenters, design, hall, hallway, interior, print, properties, property, sabey, sign, signage"
c25f9154-5900-4d92-a5a6-07c44c6a0dcf,"IGQ, Intergate Quincy, timelapse"
7f812839-2dec-4450-8456-fea6e42ab427,"IGQ, Intergate Quincy, timelapse"
7cf2e5b2-5115-4265-bc04-f43081cdb6ff,"Datacenter, Quincy, data center, data centers, grass, hot isle containment, outside, providence, racks, sabey, servers"
a5a540e2-1728-4c12-bd96-d533430d4d09,"Datacenter, Quincy, data center, data centers, grass, hot isle containment, outside, providence, racks, sabey, servers"
772a1980-e1d1-45d5-b75f-400cd3ef419d,"Datacenter, Quincy, data center, data centers, grass, hot isle containment, outside, providence, racks, sabey, servers"
6078a15a-6f2f-49c0-9221-2785dd8e8acd,"ETP, Everett, Everett Technical Park, Everett Technical Park IV, Sabey Corporation, exterior, office buidling, park, parking lot, properties, property, rail, railing, sabey, tree, trees, white, window, windows"
6b61f0f5-16cf-4f38-9a5a-04dce3f6fe4f,"ETP, Everett, Everett Technical Park, Everett Technical Park IV, Sabey Corporation, exterior, office buidling, park, parking lot, properties, property, rail, railing, sabey, tree, trees, white, window, windows"
083d770f-2838-4c44-a2f8-d9015acfe27d,"IGQ, Intergate Quincy, timelapse"
8c5db5b6-bfe6-44c7-b7aa-5a22c6ff5c68,"IGQ, Intergate Quincy, timelapse"
6624a973-fb86-4cd2-a975-6ae31f3af2bf,"Activity Keywords, Intergate Columbia, Sabey Corp Leadership, __PORT, data center"
3832df45-f99c-4ddf-858f-403d7f5aa792,"Activity Keywords, Intergate Columbia, Sabey Corp Leadership, __PORT, data center"
d40d37b9-2daf-4138-b78d-543a65885874,"Cherry Hill, Jeff Tower, Seattle, james tower, jefferson tower, night"
a02c148b-5e9b-49ba-a4aa-7aa77c999c88,"Cherry Hill, Jeff Tower, Seattle, james tower, jefferson tower, night"
8183e311-e50d-40ae-8d99-37691be45ba5,"Cherry Hill, Jeff Tower, Seattle, james tower, jefferson tower, night"
50b7aeb8-6945-4dd5-8518-4eeeaa1c8046,Sabey
5cc631eb-2b87-427e-8052-1bb7b81d4e5b,Sabey
3c1d9c83-6fab-477d-a6fc-0135347c7005,Sabey
7d393be5-f02b-46fc-a946-4da9b6c258da,Sabey
0a9b0904-f485-4bd3-96ad-b007d64fd1bb,Sabey
c9ba6608-c3c5-49c3-89fc-f8ca9aab6e27,Sabey
c8712920-1888-4a30-b645-9d59c83a6033,"Aerial view, ETP, Everett, Everett Technical Park, Everett Technical Park IV, Sabey Corporation, aerial, line, properties, property, sabey"
2ccac4cf-9b99-42f6-9c34-6c12f9ddd4d1,"Aerial view, ETP, Everett, Everett Technical Park, Everett Technical Park IV, Sabey Corporation, aerial, line, properties, property, sabey"
e8b2a071-881e-4d73-add6-475205981abe,"aerial, drome, drone"
71e5e65f-900a-4363-82a4-7cf4c2668979,"aerial, drome, drone"
af8dd723-c07d-45a4-811a-a6e06996b998,"IGQ, Intergate Quincy, timelapse"
360ce46e-50e5-4ecc-8c2d-c78d187a64bf,"IGQ, Intergate Quincy, timelapse"
7434af00-77be-4c75-918d-0430909b287d,"IGQ, Intergate Quincy, timelapse"
4a10f927-02da-43ca-9a24-0f3cc92bdf76,"IGQ, Intergate Quincy, timelapse"
d88b4328-0945-46ba-92b9-dcc08d74b637,"IGQ, Intergate Quincy, timelapse"
abc8a22e-8d12-4cdc-b11f-77f3c342d658,"IGQ, Intergate Quincy, timelapse"
